frame_number,landmark,x,y,z
127,LEFT_EYE_OUTER,0.40373101830482483,0.6947876811027527,0.054153893142938614
127,RIGHT_EYE_INNER,0.40677550435066223,0.6944302916526794,0.05445246025919914
127,RIGHT_EYE,0.40739336609840393,0.6943813562393188,0.054454255849123
127,RIGHT_EYE_OUTER,0.40804970264434814,0.6943999528884888,0.05443278327584267
127,LEFT_EAR,0.40295642614364624,0.6968454718589783,0.026907620951533318
127,RIGHT_EAR,0.4093961715698242,0.6968179941177368,0.027888845652341843
127,MOUTH_LEFT,0.4050077199935913,0.700386643409729,0.053572967648506165
127,MOUTH_RIGHT,0.40704765915870667,0.7001330256462097,0.053833138197660446
127,LEFT_SHOULDER,0.39606067538261414,0.7188677191734314,0.018414532765746117
127,RIGHT_SHOULDER,0.4186953604221344,0.7216448187828064,0.011078414507210255
